name,win,loss,nc,draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.
Jason Novelli,0,2,0,0,"6'0""",155lbs.,--,Orthodox,"Jun08,1979",1.73,24%,3.55,66%,0.70,33%,100%,0.0
Chris Avila,0,2,0,0,"5'10""",145lbs.,--,Orthodox,"Jan16,1993",2.37,30%,4.17,48%,0.00,0%,46%,0.0
Dan Henderson,27,15,0,0,"5'11""",185lbs.,"74""",Orthodox,"Aug24,1970",2.44,47%,2.70,51%,1.52,52%,57%,0.3
Albert Tumenov,5,3,0,0,"5'11""",170lbs.,"73""",Orthodox,"Dec26,1991",3.76,42%,3.34,58%,0.20,20%,75%,0.0
Lukasz Sajewski,0,3,0,0,"5'8""",155lbs.,"71""",Orthodox,"Nov27,1990",2.06,35%,3.88,57%,1.01,25%,66%,0.0
Tamdan McCrory,4,5,0,0,"6'4""",185lbs.,"76""",Switch,"Nov05,1986",2.07,49%,1.60,46%,2.28,50%,33%,2.5
Cody East,0,2,0,0,"6'3""",245lbs.,--,Orthodox,"Jun29,1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0
Kelly Faszholz,0,2,0,0,"5'8""",135lbs.,--,Orthodox,"Apr09,1985",4.01,48%,3.61,52%,0.00,0%,44%,0.0
Antonio Silva,10,9,0,1,"6'4""",264lbs.,"82""",Orthodox,"Sep14,1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8
Hector Urbina,1,2,0,0,"5'11""",170lbs.,"73""",Orthodox,"Sep17,1987",0.97,38%,2.44,39%,0.00,0%,38%,3.8
Glaico Franca Moreira,1,2,0,0,"6'0""",155lbs.,"77""",Orthodox,"Feb28,1991",2.35,42%,3.46,47%,2.68,42%,76%,0.3
Kenny Robertson,4,5,0,0,"5'10""",170lbs.,"74""",Orthodox,"Feb14,1984",3.72,47%,3.02,52%,1.37,26%,57%,0.8
Maximo Blanco,4,6,0,0,"5'8""",145lbs.,"71""",Orthodox,"Oct16,1983",4.11,44%,3.19,66%,1.85,36%,63%,0.3
Augusto Montano,1,2,0,0,"6'1""",170lbs.,"73""",Orthodox,"Oct25,1984",3.46,46%,2.66,56%,0.00,0%,66%,0.0
Leonardo Guimaraes,0,2,0,0,"6'0""",185lbs.,--,Orthodox,"Apr15,1982",2.35,56%,2.99,44%,0.00,0%,52%,1.0
Joey Gomez,0,1,0,0,"5'10""",155lbs.,"71""",Orthodox,"Aug29,1989",3.73,49%,3.33,50%,2.00,28%,0%,0.0
Caio Magalhaes,4,3,0,0,"6'1""",185lbs.,"73""",Orthodox,"Dec14,1987",2.27,40%,2.78,56%,1.05,15%,58%,1.6
Sean Spencer,3,5,0,0,"5'10""",170lbs.,"74""",Orthodox,"Jun25,1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0
Josh Barnett,21,8,0,0,"6'3""",250lbs.,"78""",Orthodox,"Nov10,1977",3.20,50%,2.11,57%,1.26,55%,55%,1.4
Tae Hyun Bang,2,3,0,0,"5'9""",155lbs.,"71""",Switch,"Apr15,1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5
Taylor Lapilus,3,1,0,0,"5'6""",135lbs.,"73""",Southpaw,"Apr08,1992",3.77,45%,2.00,61%,0.58,40%,81%,0.6
Leandro Issa,2,3,0,0,"5'7""",135lbs.,"69""",Orthodox,"Sep19,1983",2.08,37%,3.17,58%,2.38,22%,50%,1.2
Jarjis Danho,0,1,0,1,"6'3""",265lbs.,"74""",Orthodox,"Oct15,1983",3.39,48%,5.77,47%,0.57,20%,100%,0.0
Leandro Silva,3,4,1,0,"5'9""",155lbs.,"72""",Orthodox,"Nov11,1985",2.39,48%,2.08,63%,1.76,37%,65%,0.4
Kevin Casey,2,4,2,1,"5'11""",185lbs.,"77""",Southpaw,"Jun15,1981",2.27,53%,3.76,46%,0.79,22%,27%,0.4
Shane Campbell,1,4,0,0,"6'0""",155lbs.,"71""",Orthodox,"Jan21,1987",3.99,59%,3.19,55%,1.36,28%,82%,0.0
Rick Story,12,7,0,0,"5'9""",170lbs.,"71""",Southpaw,"Aug28,1984",3.80,41%,2.17,62%,2.53,48%,63%,0.9
Elizabeth Phillips,1,3,0,0,"5'6""",135lbs.,"65""",Orthodox,"Aug20,1986",2.60,33%,3.07,58%,0.75,25%,53%,0.2
Lorenz Larkin,9,5,1,0,"5'11""",170lbs.,"72""",Orthodox,"Sep03,1986",3.53,46%,2.74,63%,0.27,42%,79%,0.1
Alberto Uda,0,2,0,0,"6'3""",185lbs.,--,Orthodox,"Aug08,1984",1.79,52%,3.49,45%,2.83,50%,66%,0.0
Horacio Gutierrez,0,2,0,0,"5'10""",145lbs.,--,,"Sep15,1990",0.86,26%,2.91,46%,0.00,0%,50%,0.0
Tatsuya Kawajiri,20,8,0,0,"5'7""",145lbs.,"69""",Orthodox,"May08,1978",2.04,44%,2.01,50%,3.63,48%,63%,1.1
Francisco Rivera,4,7,1,0,"5'8""",135lbs.,"70""",Orthodox,"Oct08,1981",4.07,41%,3.16,68%,1.01,63%,68%,0.6
Michael Graves,2,0,0,1,"5'10""",170lbs.,"71""",Orthodox,"Jan08,1991",1.25,54%,1.47,58%,4.80,52%,66%,0.4
Cesar Arzamendia,0,2,0,0,"5'11""",155lbs.,--,Orthodox,"Jan31,1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4
Jim Alers,1,2,1,0,"5'9""",145lbs.,"71""",Orthodox,"Oct14,1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3
Michael McDonald,7,3,0,0,"5'9""",135lbs.,"70""",Orthodox,"Jan15,1991",2.69,42%,2.76,57%,1.09,66%,52%,1.4
Josh Samman,3,2,0,0,"6'3""",185lbs.,"79""",Orthodox,"Mar14,1988",2.08,52%,2.47,34%,1.09,33%,33%,0.4
Cristina Stanciu,0,2,0,0,"5'3""",115lbs.,--,Orthodox,"Mar29,1994",2.50,50%,3.07,52%,0.85,100%,40%,1.7
Cody Pfister,1,3,0,0,"5'10""",155lbs.,"73""",Orthodox,"Jul12,1990",1.41,25%,2.80,51%,2.82,30%,0%,0.0
Brock Lesnar,5,3,1,0,"6'3""",265lbs.,"81""",Orthodox,"Jul12,1977",3.53,72%,2.11,50%,3.90,55%,60%,0.5
Enrique Marin,0,2,0,0,"5'10""",170lbs.,--,,"Sep02,1986",1.43,33%,3.00,50%,2.50,38%,60%,1.0
Thiago Tavares,10,7,0,1,"5'7""",145lbs.,"70""",Orthodox,"Nov08,1984",2.00,40%,2.31,62%,3.83,42%,62%,1.5
Fernando Bruno,0,2,0,0,"5'6""",145lbs.,--,,"Feb24,1982",1.75,39%,1.78,48%,2.02,22%,56%,0.5
Cory Hendricks,0,1,0,0,"6'3""",205lbs.,--,,"May10,1988",3.13,39%,4.07,42%,0.00,0%,100%,0.0
Anton Zafir,0,2,0,0,"5'11""",170lbs.,--,Orthodox,"May10,1987",2.99,64%,2.31,52%,6.11,60%,0%,0.0
Mehdi Baghdad,0,2,0,0,"6'1""",155lbs.,--,Orthodox,"Apr13,1985",3.13,30%,4.56,46%,0.00,0%,33%,0.0
Anthony Birchak,2,2,0,0,"5'8""",135lbs.,"69""",Orthodox,"May16,1986",3.98,35%,2.26,66%,0.68,16%,83%,0.0
Dileno Lopes,0,2,0,0,"5'5""",135lbs.,--,,"Sep26,1984",2.37,36%,3.33,53%,2.50,31%,100%,1.5
Jerrod Sanders,1,2,1,0,"5'8""",135lbs.,"72""",Orthodox,"Oct01,1979",0.88,64%,1.14,46%,2.20,33%,50%,1.6
Rory MacDonald,9,4,0,0,"6'0""",170lbs.,"76""",Orthodox,"Jul22,1989",3.75,42%,2.80,62%,1.77,47%,88%,0.4
Steve Bosse,2,1,0,0,"5'11""",205lbs.,"72""",Orthodox,"Jul29,1981",5.99,52%,5.38,50%,0.92,33%,100%,0.0
Chris Beal,2,3,0,0,"5'7""",125lbs.,"69""",Orthodox,"Aug06,1985",3.45,35%,3.18,61%,1.60,58%,78%,0.2
Yan Cabral,3,3,0,0,"5'11""",155lbs.,"73""",Orthodox,"May13,1983",2.02,47%,1.98,62%,2.89,35%,37%,1.2
Dominic Waters,0,3,0,0,"6'1""",170lbs.,"79""",Orthodox,"Apr11,1989",0.48,23%,2.53,39%,4.07,52%,28%,0.0
Willie Gates,1,3,0,0,"5'8""",125lbs.,"72""",Orthodox,"Jan21,1987",1.80,38%,4.28,38%,0.00,0%,67%,0.4
Chris Kelades,2,2,0,0,"5'7""",125lbs.,"68""",Orthodox,"Feb21,1981",2.40,43%,2.64,48%,1.04,18%,53%,0.3
Clint Hester,4,3,0,0,"6'2""",205lbs.,"77""",Orthodox,"Nov21,1986",3.36,42%,3.44,56%,1.02,35%,60%,0.0
Efrain Escudero,5,7,0,0,"5'9""",155lbs.,"71""",Orthodox,"Jan15,1986",2.92,44%,2.30,63%,1.31,40%,66%,0.8
Gabriel Gonzaga,12,11,0,0,"6'2""",242lbs.,"76""",Orthodox,"May18,1979",2.12,45%,2.94,57%,2.80,39%,66%,1.1
Igor Pokrajac,4,8,1,0,"6'0""",205lbs.,"74""",Orthodox,"Jan02,1979",2.25,45%,4.26,40%,0.87,29%,51%,0.2
Ian Entwistle,1,2,0,0,"5'5""",135lbs.,--,Orthodox,"Nov19,1986",0.11,7%,7.36,31%,0.00,0%,0%,12.1
Filip Pejic,0,1,0,0,"5'8""",135lbs.,--,Orthodox,"Jul21,1992",0.00,0%,0.88,33%,0.00,0%,0%,0.0
Lucas Martins,4,3,0,0,"6'0""",145lbs.,"72""",Southpaw,"Nov11,1988",2.87,35%,4.14,60%,0.00,0%,76%,0.5
Robert Whiteford,2,3,0,0,"5'9""",145lbs.,"69""",Southpaw,"Apr12,1983",2.33,46%,1.99,62%,1.90,30%,45%,0.0
Frank Mir,16,11,0,0,"6'3""",264lbs.,"79""",Southpaw,"May24,1979",2.18,47%,3.84,38%,2.02,40%,54%,2.0
James Te Huna,5,5,0,0,"6'2""",185lbs.,"75""",Orthodox,"Sep29,1981",4.04,51%,2.99,62%,2.75,37%,58%,0.2
Mark Eddiva,1,3,0,0,"5'8""",145lbs.,"68""",Orthodox,"Feb16,1986",3.37,45%,2.98,54%,1.45,22%,63%,0.0
Rin Nakai,0,2,0,0,"5'1""",135lbs.,--,Orthodox,"Oct22,1986",1.57,33%,3.90,60%,3.00,18%,75%,0.5
Viscardi Andrade,3,1,0,0,"5'11""",170lbs.,"75""",Orthodox,"Mar08,1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Tom Lawlor,6,5,0,0,"6'0""",205lbs.,"74""",Southpaw,"May15,1983",2.50,42%,2.41,60%,2.46,32%,57%,1.4
Marcelo Guimaraes,2,2,0,0,"6'0""",185lbs.,"73""",Orthodox,"Jun25,1983",4.67,51%,4.41,62%,1.99,13%,0%,0.0
Justin Salas,3,4,0,0,"5'8""",155lbs.,"70""",Southpaw,"Mar13,1982",3.42,43%,2.96,68%,2.43,20%,0%,0.0
Mike Wilkinson,2,2,0,0,"5'7""",145lbs.,"66""",Orthodox,"Sep15,1987",2.35,38%,3.70,35%,0.92,14%,55%,0.9
Chris Dempsey,1,3,0,0,"5'10""",185lbs.,"72""",Orthodox,"Sep08,1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
Yaotzin Meza,2,4,1,0,"5'9""",145lbs.,"71""",Orthodox,"Feb04,1981",1.43,41%,1.62,64%,1.06,20%,18%,1.4
Norman Parke,5,3,0,1,"5'11""",155lbs.,"70""",Southpaw,"Dec22,1986",3.06,35%,2.88,64%,1.98,26%,77%,0.0
Martin Svensson,0,1,0,0,"6'1""",155lbs.,--,,"Apr25,1985",2.02,38%,5.91,38%,0.00,0%,0%,0.0
Joe Riggs,9,10,0,0,"6'0""",185lbs.,"70""",Southpaw,"Sep23,1982",2.41,51%,1.69,57%,2.45,55%,62%,0.6
Daniel Sarafian,2,4,0,0,"5'9""",185lbs.,"73""",Orthodox,"Aug21,1982",2.23,46%,3.10,58%,0.36,7%,53%,0.7
Jonavin Webb,0,2,0,0,"5'10""",170lbs.,--,Orthodox,"Apr28,1989",1.47,30%,2.27,64%,2.50,31%,40%,1.0
Jared Rosholt,6,2,0,0,"6'2""",265lbs.,"75""",Orthodox,"Aug04,1986",2.08,46%,1.52,59%,1.83,41%,66%,0.1
Rafael Cavalcante,8,6,1,0,"6'1""",205lbs.,"74""",Orthodox,"Apr14,1980",2.71,53%,3.62,49%,0.60,40%,63%,0.1
KJ Noons,9,8,1,0,"5'10""",155lbs.,"70""",Orthodox,"Dec07,1982",3.68,35%,3.78,65%,0.08,20%,68%,0.0
Noad Lahat,2,2,0,0,"5'9""",145lbs.,"69""",Orthodox,"Jun08,1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4
Masio Fullen,1,2,0,0,"5'10""",145lbs.,"70""",Orthodox,"Oct06,1986",2.46,32%,3.50,54%,0.47,33%,69%,0.0
Matt Dwyer,1,3,0,0,"6'4""",170lbs.,"76""",Orthodox,"Dec17,1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0
Levan Makashvili,1,1,0,1,"5'8""",145lbs.,"68""",Orthodox,"Jan07,1989",2.87,54%,2.07,61%,3.67,42%,85%,0.0
Felipe Olivieri,0,1,0,0,"5'9""",155lbs.,--,Orthodox,"Apr12,1985",6.68,58%,4.60,57%,0.00,0%,71%,0.0
Matt Mitrione,9,5,0,0,"6'3""",265lbs.,"82""",Switch,"Jul15,1978",3.55,50%,2.79,64%,0.00,0%,55%,0.7
Daron Cruickshank,6,6,1,0,"5'8""",155lbs.,"72""",Switch,"Jun11,1985",2.88,38%,2.98,57%,2.04,41%,60%,0.2
Diego Brandao,6,4,0,0,"5'7""",145lbs.,"64""",Orthodox,"May27,1987",2.94,47%,3.38,62%,3.21,68%,80%,0.6
Tony Sims,1,2,0,0,"5'11""",155lbs.,"70""",Southpaw,"Oct14,1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7
Masanori Kanehara,2,2,0,0,"5'7""",135lbs.,"67""",Orthodox,"Nov19,1982",1.88,49%,1.63,62%,1.44,50%,63%,0.9
Sheldon Westcott,1,2,0,0,"6'1""",170lbs.,"71""",Southpaw,"Aug20,1984",2.26,40%,3.73,37%,3.23,37%,14%,0.0
Edgar Garcia,1,4,0,0,"5'10""",170lbs.,"71""",Orthodox,"Feb22,1984",3.16,29%,4.23,60%,2.21,57%,50%,0.6
Sarah Kaufman,7,4,1,0,"5'5""",135lbs.,"66""",Orthodox,"Sep20,1985",6.65,46%,4.00,62%,0.38,57%,81%,0.0
Danny Castillo,12,10,0,0,"5'9""",155lbs.,"71""",Orthodox,"Aug25,1979",2.57,42%,1.96,62%,2.95,38%,63%,0.2
Hayder Hassan,1,2,0,0,"5'10""",170lbs.,--,,"Oct20,1982",2.11,46%,3.16,48%,0.00,0%,25%,0.0
Marcio Alexandre Junior,1,3,0,0,"6'0""",185lbs.,"75""",Southpaw,"May05,1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Marcin Wrzosek,0,1,0,0,"5'9""",155lbs.,--,,"Oct14,1987",3.47,43%,4.07,43%,3.00,25%,33%,0.0
Konstantin Erokhin,0,2,0,0,"5'11""",230lbs.,--,Orthodox,"Jan31,1983",1.07,36%,1.83,47%,0.00,0%,70%,0.0
Mike Pierce,10,5,0,0,"5'8""",170lbs.,"71""",Orthodox,"Sep01,1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2
Abner Lloveras,0,1,0,0,"5'11""",155lbs.,--,,"Sep04,1982",6.27,49%,6.87,43%,2.00,20%,0%,0.0
John Howard,7,7,0,0,"5'7""",170lbs.,"72""",Orthodox,"Mar01,1983",2.15,50%,3.08,51%,2.70,49%,53%,0.4
Andreas Stahl,0,2,0,0,"5'11""",170lbs.,--,Orthodox,"May20,1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0
Emily Kagan,0,2,0,0,"5'3""",115lbs.,--,,"Jul14,1981",2.60,36%,5.29,38%,1.86,14%,50%,0.0
Benson Henderson,16,4,0,0,"5'9""",170lbs.,"70""",Southpaw,"Nov16,1983",2.93,45%,1.79,63%,2.40,45%,63%,0.8
Yoshihiro Akiyama,14,6,2,0,"5'10""",170lbs.,"75""",Orthodox,"Jul29,1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0
Dongi Yang,2,3,0,0,"5'10""",185lbs.,"73""",Southpaw,"Dec07,1984",3.55,51%,3.21,63%,1.70,41%,61%,0.5
Yui Chul Nam,1,2,0,0,"5'9""",145lbs.,--,Orthodox,"Jul16,1981",3.53,51%,2.00,48%,1.33,16%,57%,0.3
Leo Kuntz,0,2,0,0,"5'10""",155lbs.,--,Orthodox,"Oct03,1983",1.68,32%,3.80,45%,1.99,25%,33%,0.7
Scott Jorgensen,11,11,0,0,"5'5""",135lbs.,"66""",Orthodox,"Sep17,1982",3.37,40%,3.41,65%,2.61,45%,59%,0.7
Vernon Ramos Ho,0,1,0,0,"5'6""",170lbs.,--,Orthodox,"Jun03,1992",4.00,25%,8.00,55%,0.00,0%,0%,0.0
Valmir Lazaro,1,2,0,0,"6'0""",155lbs.,"73""",Orthodox,"Aug15,1985",4.87,37%,4.09,61%,1.33,40%,96%,0.0
Akbarh Arreola,1,3,0,0,"5'10""",155lbs.,"71""",Southpaw,"Jan14,1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
Anthony Perosh,5,7,0,0,"6'3""",205lbs.,"75""",Orthodox,"Oct05,1972",2.27,43%,3.77,53%,2.03,22%,33%,1.1
Danny Martinez,1,4,0,0,"5'6""",125lbs.,"67""",Orthodox,"Jun14,1985",2.73,28%,3.77,63%,3.00,45%,36%,0.0
Richie Vaculik,1,3,0,0,"5'6""",125lbs.,"69""",Orthodox,"Jun19,1983",3.69,46%,4.09,57%,3.00,45%,31%,1.0
Steve Montgomery,0,2,0,0,"6'4""",185lbs.,--,Southpaw,"Dec19,1990",4.85,39%,4.12,47%,0.00,0%,64%,0.0
Steve Kennedy,0,2,0,0,"5'11""",170lbs.,--,Orthodox,"Mar07,1983",2.28,35%,5.52,45%,2.51,33%,0%,0.0
Piotr Hallmann,2,4,0,0,"5'9""",155lbs.,"71""",Orthodox,"Aug25,1987",3.98,45%,3.17,58%,2.55,44%,70%,0.4
Fabio Maldonado,5,6,0,0,"6'1""",205lbs.,"75""",Orthodox,"Mar17,1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6
Edimilson Souza,3,1,0,0,"6'0""",145lbs.,"74""",Orthodox,"Oct17,1984",4.65,44%,2.91,58%,0.00,0%,50%,0.0
Gasan Umalatov,1,3,0,0,"5'11""",170lbs.,"71""",Orthodox,"Sep11,1982",2.23,39%,4.10,59%,0.75,17%,90%,0.0
Bruno Rodrigues,0,1,0,0,"5'6""",135lbs.,--,,"Jun28,1991",2.01,34%,3.42,40%,0.00,0%,25%,0.0
Paddy Holohan,3,2,0,0,"5'10""",125lbs.,"69""",Orthodox,"May03,1988",2.13,46%,2.81,46%,2.88,47%,71%,1.3
Jon Delos Reyes,1,3,0,0,"5'6""",125lbs.,"67""",Orthodox,"Aug19,1987",2.99,38%,4.14,51%,3.20,83%,55%,1.9
Mickael Lebout,1,2,0,0,"5'11""",155lbs.,"73""",Orthodox,"Aug16,1987",2.60,34%,2.98,54%,0.00,0%,60%,0.0
Aisling Daly,2,1,0,0,"5'2""",115lbs.,"64""",Orthodox,"Dec24,1987",2.92,52%,1.40,55%,2.15,41%,33%,0.9
Ericka Almeida,0,2,0,0,"5'6""",115lbs.,--,Orthodox,"Mar05,1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0
Cathal Pendred,4,2,0,0,"6'1""",170lbs.,"75""",Orthodox,"Sep02,1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4
Bubba Bush,0,1,1,0,"6'0""",185lbs.,--,Orthodox,"Jul24,1985",0.63,55%,7.01,25%,2.82,50%,60%,0.0
Ruslan Magomedov,3,0,0,0,"6'3""",242lbs.,"78""",Orthodox,"Nov26,1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0
Shawn Jordan,7,5,0,0,"6'0""",260lbs.,"75""",Southpaw,"Oct21,1984",2.87,50%,3.30,47%,1.97,38%,76%,0.1
Francisco Trevino,1,2,0,0,"5'9""",155lbs.,"70""",Orthodox,"Dec17,1981",2.65,42%,2.42,64%,0.97,22%,41%,0.0
Chris Cariaso,11,7,0,0,"5'3""",125lbs.,"64""",Southpaw,"May27,1981",3.35,43%,2.23,61%,1.11,39%,57%,0.8
Chico Camus,3,4,1,0,"5'6""",125lbs.,"66""",Orthodox,"Jan26,1985",2.58,41%,2.46,64%,0.77,40%,72%,0.4
George Roop,6,9,0,1,"6'1""",135lbs.,"72""",Orthodox,"Nov10,1981",3.43,34%,2.47,60%,1.05,57%,59%,0.1
Katsunori Kikuno,5,5,0,0,"5'8""",145lbs.,"66""",Orthodox,"Oct31,1981",2.64,40%,2.47,61%,1.88,75%,76%,0.8
Naoyuki Kotani,0,6,0,0,"5'8""",155lbs.,"66""",Southpaw,"Dec08,1981",1.02,31%,2.89,50%,0.83,16%,46%,0.8
Roger Zapata,0,1,0,0,"5'11""",170lbs.,--,Southpaw,"May09,1986",2.60,51%,2.13,36%,0.00,0%,81%,1.4
Clay Collard,1,3,0,0,"5'11""",145lbs.,"73""",Orthodox,"Mar10,1993",4.22,32%,5.00,50%,2.81,39%,71%,0.5
Ron Stallings,1,3,0,0,"6'2""",170lbs.,"75""",Southpaw,"Jan25,1983",3.22,60%,3.26,51%,0.00,0%,71%,0.0
Nazareno Malegarie,0,1,0,0,"5'8""",155lbs.,--,,"May16,1986",3.87,34%,3.27,69%,1.00,33%,0%,0.0
Sam Stout,9,11,0,0,"5'9""",155lbs.,"70""",Orthodox,"Apr23,1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1
Yves Jabouin,6,7,0,0,"5'7""",135lbs.,"68""",Orthodox,"May30,1979",3.06,41%,2.93,62%,1.94,60%,82%,0.1
Elias Silverio,3,2,0,0,"5'11""",155lbs.,"73""",Orthodox,"Sep22,1986",3.67,49%,2.97,51%,1.62,38%,85%,0.2
Tom Watson,2,5,0,0,"6'1""",185lbs.,"73""",Orthodox,"Jul13,1982",4.01,44%,4.41,50%,0.15,7%,43%,0.0
Sirwan Kakai,1,1,0,0,"5'5""",135lbs.,--,Orthodox,"Oct03,1989",3.57,41%,4.63,62%,4.00,42%,83%,0.0
Roman Salazar,0,2,1,0,"5'7""",135lbs.,--,Orthodox,"Feb21,1988",1.95,39%,2.89,57%,1.77,18%,50%,0.0
Anthony Christodoulou,0,2,0,0,"5'9""",155lbs.,--,Orthodox,"Jul30,1987",2.19,26%,5.90,45%,0.00,0%,40%,0.0
Antonio Rodrigo Nogueira,23,9,1,0,"6'3""",240lbs.,"77""",Orthodox,"Jun02,1976",1.95,42%,2.40,55%,1.30,29%,36%,2.4
Soa Palelei,4,4,0,0,"6'4""",265lbs.,"81""",Orthodox,"Jul12,1977",2.47,57%,2.68,48%,2.20,47%,66%,0.0
Hugo Viana,3,3,0,0,"5'6""",135lbs.,"67""",Orthodox,"Sep26,1982",3.05,38%,3.20,57%,0.22,6%,50%,0.0
Ramsey Nijem,5,5,0,0,"5'11""",155lbs.,"75""",Orthodox,"Apr01,1988",3.05,44%,1.62,62%,5.32,62%,55%,1.1
Jessamyn Duke,1,3,0,0,"5'11""",135lbs.,"73""",Orthodox,"Jun24,1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9
Ivan Jorge,2,2,0,0,"5'9""",155lbs.,"73""",Orthodox,"Nov07,1980",3.41,49%,2.91,59%,1.56,16%,75%,0.6
Pawel Pawlak,1,2,0,0,"6'0""",170lbs.,"73""",Orthodox,"Feb08,1989",1.67,33%,2.22,53%,1.00,37%,70%,0.0
Leonardo Mafra,1,3,0,0,"5'10""",155lbs.,"70""",Orthodox,"Apr25,1989",4.55,48%,4.38,43%,2.12,83%,69%,0.4
Vaughan Lee,3,5,0,0,"5'6""",125lbs.,"66""",Orthodox,"Oct15,1982",3.47,47%,2.07,70%,0.81,33%,72%,1.0
Hans Stringer,1,2,0,0,"6'3""",205lbs.,--,Orthodox,"Jul06,1987",3.16,61%,2.84,41%,2.40,36%,62%,0.0
Paul Redmond,0,2,0,0,"5'10""",145lbs.,--,Orthodox,"Oct20,1986",0.72,34%,2.99,41%,0.00,0%,50%,0.0
Marcus Brimage,4,4,0,0,"5'4""",135lbs.,"71""",Southpaw,"Apr06,1985",3.97,35%,3.64,56%,0.56,100%,80%,0.0
Josh Thomson,15,8,0,0,"5'10""",155lbs.,"71""",Orthodox,"Sep21,1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3
Igor Araujo,2,2,0,0,"6'1""",170lbs.,"77""",Orthodox,"Dec06,1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Ildemar Alcantara,4,3,0,0,"6'2""",185lbs.,"78""",Orthodox,"Nov18,1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9
Andrew Craig,3,4,0,0,"6'1""",170lbs.,"76""",Orthodox,"Jan15,1986",2.39,40%,3.01,50%,0.53,37%,72%,0.0
Dan Miller,8,7,0,0,"6'1""",185lbs.,"74""",Orthodox,"Jun30,1981",2.03,36%,3.06,49%,1.67,54%,47%,1.8
Darrell Montague,0,3,0,0,"5'6""",125lbs.,"67""",Southpaw,"Nov03,1987",1.92,25%,5.38,52%,0.72,25%,33%,1.4
Mike Swick,12,6,0,0,"6'1""",170lbs.,"77""",Orthodox,"Jun19,1979",2.36,37%,2.29,54%,1.06,50%,61%,0.6
Yosdenis Cedeno,1,3,0,0,"5'8""",155lbs.,"69""",Orthodox,"Feb12,1985",1.64,29%,1.60,67%,0.00,0%,31%,0.3
Eddie Gordon,1,3,0,0,"6'0""",185lbs.,"76""",Orthodox,"Jul22,1983",2.03,32%,2.57,60%,1.93,83%,63%,0.0
Joe Merritt,0,1,0,0,"6'0""",170lbs.,--,Orthodox,"Mar07,1984",1.53,58%,0.73,66%,0.00,0%,68%,0.0
Lewis Gonzalez,0,1,0,0,"5'10""",170lbs.,--,Orthodox,"Sep19,1987",1.40,37%,1.87,41%,2.00,33%,62%,0.0
Alan Omer,0,2,0,0,"5'10""",145lbs.,--,Orthodox,"Sep14,1988",3.49,55%,2.21,64%,1.69,42%,66%,0.0
Niklas Backstrom,1,2,0,0,"6'1""",145lbs.,--,Orthodox,"Aug22,1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2
Antonio Dos Santos,0,2,0,0,"5'10""",185lbs.,--,Orthodox,"Jul21,1988",5.40,51%,3.94,43%,0.00,0%,100%,0.0
Brian Ebersole,6,3,0,0,"6'0""",170lbs.,"73""",Southpaw,"Nov27,1980",2.32,49%,2.14,56%,1.70,23%,61%,0.1
Justin Edwards,2,5,0,0,"5'10""",155lbs.,"70""",Orthodox,"Jan26,1983",2.68,42%,3.32,51%,2.14,26%,27%,1.0
Ricardo Abreu,1,1,0,0,"5'11""",185lbs.,--,Orthodox,"Apr27,1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
Leonardo Morales,0,2,0,0,"5'8""",135lbs.,--,Southpaw,"Dec22,1992",2.05,47%,2.05,58%,0.00,0%,62%,0.0
Ryan Jimmo,3,4,0,0,"6'1""",205lbs.,"73""",Orthodox,"Nov27,1981",3.12,66%,2.77,46%,0.45,28%,87%,0.0
Wendell Oliveira Marques,0,2,0,0,"5'10""",170lbs.,--,Orthodox,"Jun01,1983",3.77,47%,4.40,47%,0.00,0%,100%,0.0
Luiz Dutra,0,2,0,0,"5'11""",170lbs.,--,Orthodox,"May06,1982",3.92,50%,4.80,41%,0.00,0%,100%,0.0
